t	R	z	phi	vR	vz	vphi	E	Lz
28173.2	1.44387	-6.83542e-06	2.90874	-0.964291	-0.397519	0.000692584	-0.05	0.001
28176.3	2.06061	1.03329e-06	-0.233178	0.844392	0.28597	0.000485294	-0.05	0.001
28374.2	0.38669	-2.54225e-06	2.90743	0.579211	-1.29354	0.00258605	-0.05	0.001
28574.1	0.324695	5.84146e-06	-0.236847	-0.261335	1.41213	0.00307981	-0.05	0.001
28773.4	0.755949	-1.27567e-06	2.90316	-1.03912	-0.748354	0.00132284	-0.05	0.001
28787.7	8.18434	2.90973e-06	-0.238856	0.369824	0.0790092	0.000122185	-0.05	0.001
28973.8	0.486336	-2.286e-06	2.90207	0.780464	-1.14214	0.00205619	-0.05	0.001
29173.5	0.338488	9.26648e-06	-0.241565	-0.116653	1.42735	0.00295432	-0.05	0.001
29373	0.651925	-3.30788e-06	2.8984	-0.978496	-0.887469	0.00153392	-0.05	0.001
29417.9	15.6584	3.53725e-06	-0.243666	0.160318	0.0427828	6.38636e-05	-0.05	0.001
29573.3	0.544697	-2.71955e-06	2.89735	0.855965	-1.05934	0.00183588	-0.05	0.001
29772.9	0.34988	3.23289e-06	-0.246014	-0.0588768	1.42751	0.00285812	-0.05	0.001
29972.5	0.632192	-8.83035e-06	2.89399	-0.950581	-0.928264	0.0015818	-0.05	0.001
30035.7	17.997	6.41422e-06	-0.248088	0.0978704	0.0377137	5.55647e-05	-0.05	0.001
30172.7	0.567553	-6.9974e-06	2.89296	0.873889	-1.03338	0.00176195	-0.05	0.001
30372.3	0.358182	8.58224e-06	-0.250298	-0.0512027	1.42529	0.00279187	-0.05	0.001
30571.8	0.646951	-3.38292e-06	2.88978	-0.952339	-0.918259	0.00154571	-0.05	0.001
30627.6	17.1735	3.53219e-06	-0.252288	0.121335	0.0398586	5.82293e-05	-0.05	0.001
30772.1	0.566463	-6.81594e-06	2.88876	0.85611	-1.04869	0.00176534	-0.05	0.001
30971.7	0.369646	2.828e-06	-0.254433	-0.0877477	1.41997	0.00270529	-0.05	0.001
31171.2	0.712208	-8.22286e-06	2.88579	-0.980728	-0.849627	0.00140408	-0.05	0.001
31199.3	12.2943	6.74785e-06	-0.256235	0.243152	0.0561392	8.13382e-05	-0.05	0.001
31371.5	0.544922	-4.76805e-06	2.88479	0.787471	-1.1111	0.00183513	-0.05	0.001
31571.1	0.395325	7.76512e-07	-0.258319	-0.196147	1.40085	0.00252956	-0.05	0.001
31770.3	0.938697	-5.7638e-06	2.88218	-1.01188	-0.664881	0.00106531	-0.05	0.001
31777.5	5.00914	3.17937e-06	-0.259772	0.524091	0.136974	0.000199635	-0.05	0.001
31970.8	0.503146	-7.75214e-06	2.88118	0.621994	-1.22881	0.00198749	-0.05	0.001
32170.4	0.451918	2.46881e-06	-0.261788	-0.418568	1.33124	0.00221279	-0.05	0.001
32368.4	1.98705	-5.89194e-06	2.87903	-0.844471	-0.330995	0.000503258	-0.05	0.001
32371.6	1.61754	4.52177e-06	-0.262871	0.910549	0.401184	0.000618224	-0.05	0.001
32570	0.437773	-4.95628e-06	2.87789	0.365584	-1.35181	0.00228429	-0.05	0.001
32769.7	0.512952	1.74572e-06	-0.265107	-0.66468	1.20217	0.0019495	-0.05	0.001
32960.4	6.23411	-1.46321e-06	2.87587	-0.45338	-0.110504	0.000160408	-0.05	0.001
32970.1	0.866743	2.67058e-06	-0.266101	1.01074	0.714642	0.00115374	-0.05	0.001
33169.4	0.388067	-6.15597e-06	2.87433	0.167106	-1.40697	0.00257687	-0.05	0.001
33369	0.549999	4.31817e-06	-0.268797	-0.806175	1.09524	0.00181819	-0.05	0.001
33535.6	13.5627	-5.42171e-06	2.87223	-0.211148	-0.050792	7.37315e-05	-0.05	0.001
33569.3	0.693544	4.5639e-06	-0.269809	0.974075	0.868204	0.00144187	-0.05	0.001
33768.7	0.366355	-3.08449e-07	2.87038	0.0782776	-1.42154	0.00272959	-0.05	0.001
33968.4	0.566092	8.53617e-07	-0.272831	-0.860369	1.04538	0.0017665	-0.05	0.001
34111.4	17.3404	-7.67608e-06	2.86821	-0.116806	-0.0393737	5.76688e-05	-0.05	0.001
34168.6	0.643515	1.67469e-06	-0.273859	0.952651	0.919851	0.00155397	-0.05	0.001
34368.1	0.355662	-4.55464e-06	2.8662	0.0547662	-1.42592	0.00281166	-0.05	0.001
34567.8	0.559654	4.80702e-06	-0.277088	-0.867497	1.04263	0.00178682	-0.05	0.001
34711.6	17.251	-3.53926e-06	2.86395	-0.11939	-0.039184	5.79676e-05	-0.05	0.001
34768	0.638817	3.60789e-06	-0.27813	0.960326	0.914472	0.00156539	-0.05	0.001
34967.5	0.346054	-2.25079e-07	2.86186	0.0783949	-1.42772	0.00288972	-0.05	0.001
35167.2	0.524189	5.3429e-06	-0.281582	-0.831879	1.08796	0.00190771	-0.05	0.001
35337	12.8853	-4.47482e-06	2.8594	-0.228517	-0.0514436	7.76079e-05	-0.05	0.001
35367.5	0.680216	2.3581e-06	-0.282648	1.00239	0.843429	0.00147012	-0.05	0.001
35567	0.332213	-3.906e-06	2.85732	0.166591	-1.42423	0.00301011	-0.05	0.001
35766.7	0.447158	7.73597e-06	-0.286529	-0.712953	1.20154	0.00223635	-0.05	0.001
35960.5	4.77262	-5.54268e-06	2.8543	-0.543246	-0.131177	0.000209528	-0.05	0.001
35967.2	0.896884	6.77683e-06	-0.287672	1.05419	0.626767	0.00111497	-0.05	0.001
36166.4	0.327211	-4.35866e-06	2.85246	0.358522	-1.38989	0.00305614	-0.05	0.001
36366.3	0.34481	1.66168e-06	-0.292146	-0.452248	1.35685	0.00290015	-0.05	0.001
36565.2	1.17785	-1.9196e-06	2.84819	-1.01777	-0.481845	0.000849005	-0.05	0.001
36568.9	2.74394	1.00076e-06	-0.293745	0.739455	0.219745	0.00036444	-0.05	0.001
36766	0.408435	-4.01295e-06	2.84696	0.628234	-1.26257	0.00244837	-0.05	0.001
36965.8	0.328722	3.16383e-06	-0.297135	-0.230196	1.41637	0.00304208	-0.05	0.001
37165.2	0.734501	-2.49374e-06	2.84288	-1.02913	-0.775975	0.00136147	-0.05	0.001
37182.6	9.27544	1.3593e-06	-0.299148	0.33125	0.0704466	0.000107812	-0.05	0.001
37365.5	0.497994	-6.30987e-06	2.8418	0.791483	-1.1294	0.00200805	-0.05	0.001
37565.2	0.344352	4.51211e-07	-0.301749	-0.115599	1.4257	0.00290401	-0.05	0.001
37764.7	0.667051	-1.93226e-06	2.83828	-0.981805	-0.875012	0.00149914	-0.05	0.001
37803.7	14.6285	5.86289e-06	-0.30378	0.185366	0.0460439	6.83598e-05	-0.05	0.001
37965	0.542203	-1.12731e-06	2.83723	0.839206	-1.07385	0.00184433	-0.05	0.001
38164.6	0.358653	4.07693e-06	-0.306082	-0.0899069	1.42323	0.00278821	-0.05	0.001
38364.1	0.682996	-4.41831e-06	2.83405	-0.976078	-0.872124	0.00146414	-0.05	0.001
38400	14.0291	9.38871e-07	-0.307995	0.199789	0.0487271	7.12804e-05	-0.05	0.001
38564.4	0.547761	-4.77589e-06	2.83303	0.818935	-1.08679	0.00182561	-0.05	0.001
38764	0.377392	5.26041e-06	-0.310164	-0.138657	1.41346	0.00264976	-0.05	0.001
38963.4	0.792063	-4.40967e-06	2.83017	-1.00409	-0.771978	0.00126253	-0.05	0.001
38977.9	8.24915	4.78886e-06	-0.31182	0.366269	0.0834941	0.000121225	-0.05	0.001
39163.7	0.523704	-6.94266e-06	2.82917	0.719336	-1.16564	0.00190948	-0.05	0.001
39363.4	0.416267	6.21941e-06	-0.31389	-0.289355	1.37757	0.0024023	-0.05	0.001
39562.2	1.22937	-3.9805e-06	2.82676	-0.981033	-0.517259	0.000813425	-0.05	0.001
39566.2	2.87795	1.61262e-06	-0.315151	0.714924	0.233122	0.00034747	-0.05	0.001
39763	0.473749	-7.49356e-06	2.82574	0.507422	-1.29174	0.00211082	-0.05	0.001
39962.7	0.481862	5.03271e-06	-0.317223	-0.539742	1.27543	0.00207528	-0.05	0.001
40158.8	3.33433	-8.15124e-06	2.82369	-0.662953	-0.202612	0.000299911	-0.05	0.001
40163.4	1.12976	6.6443e-06	-0.318237	0.99597	0.559488	0.000885141	-0.05	0.001
40362.3	0.409559	-9.4407e-06	2.82237	0.262739	-1.38516	0.00244165	-0.05	0.001
40562	0.528494	7.37221e-06	-0.320704	-0.738451	1.15152	0.00189217	-0.05	0.001
40745.1	9.17419	-7.08045e-06	2.82029	-0.333766	-0.0750868	0.000109001	-0.05	0.001
40762.3	0.768353	2.29193e-06	-0.321708	0.999493	0.792788	0.00130148	-0.05	0.001
40961.7	0.374384	-4.91897e-07	2.8186	0.126803	-1.41553	0.00267105	-0.05	0.001
41161.3	0.549607	4.47616e-06	-0.324608	-0.826152	1.08044	0.00181948	-0.05	0.001
41323.1	14.5283	-4.13538e-06	2.81642	-0.187644	-0.046996	6.88314e-05	-0.05	0.001
